Airport Name,City,ICAO,IATA,Exported date
Dinard–Pleurtuit–Saint-Malo Airport,Dinard/Pleurtuit/Saint-Malo,LFRD,DNR,31/05/2025
Redon - Bains-sur-Oust Aerodrome(UAF),Redon/Bains-sur-Oust,LFER,XRN,31/05/2025
Rennes–Saint-Jacques Airport,Rennes/Saint-Jacques-de-la-Lande,LFRN,RNS,31/05/2025
"Châteauroux-Centre ""Marcel Dassault"" Airport",Châteauroux/Déols,LFLX,CHR,31/05/2025
Amboise - Dierre Airport,Amboise/Dierre,LFEF,XAM,31/05/2025
Tours Val de Loire Airport,Tours/Loire Valley,LFOT,TUF,31/05/2025
Alpes–Isère Airport,Grenoble/Saint-Étienne-de-Saint-Geoirs,LFLS,GNB,31/05/2025
Vienne - Reventin Airport,Vienne/Reventin-Vaugris,LFHH,XVI,31/05/2025
Dole–Jura Airport,Dole/Tavaux,LFGJ,DLE,31/05/2025
Lons-le-Saunier - Courlaoux Airport,Lons-le-Saunier/Courlaoux,LFGL,XLL,31/05/2025
Saint-Claude - Pratz Aerodrome,Saint-Claude/Pratz,LFKZ,XTC,31/05/2025
Dax - Seyresse Airport,Dax/Seyresse,LFBY,XDA,31/05/2025
Mont-de-Marsan Air Base(BA 118),Mont-de-Marsan,LFBM,XMJ,31/05/2025
Blois - Le Breuil Airport(UAF),Blois/Le Breuil,LFOQ,XBQ,31/05/2025
Roanne Renaison Airport(UAF),Roanne/Renaison,LFLO,RNE,31/05/2025
Saint-Étienne–Bouthéon Airport,Saint-Étienne/Andrézieux-Bouthéon,LFMH,EBU,31/05/2025
Le Puy – Loudes Airport,Le Puy-en-Velay/Loudes,LFHP,LPY,31/05/2025
La Baule - Pornichet - Le Pouliguen Airport(UAF),La Baule-Escoublac,LFRE,LBY,31/05/2025
Nantes Atlantique Airport,Nantes/Bouguenais,LFRS,NTE,31/05/2025
Saint-Nazaire Montoir Airport(UAF),Saint-Nazaire/Montoir-de-Bretagne,LFRZ,SNR,31/05/2025
Orléans – Saint-Denis-de-l'Hôtel Airport,Orléans/Saint-Denis-de-l'Hôtel,LFOZ,ORE[3],31/05/2025
Cahors - Lalbenque Airport,Cahors/Lalbenque,LFCC,ZAO,31/05/2025
Agen La Garenne Airport,Agen/ La Garenne,LFBA,AGF,31/05/2025
Mende - Brenoux Airport,Mende/Brenoux,LFNB,MEN,31/05/2025
Angers – Loire Airport,Angers/Marcé,LFJR,ANE,31/05/2025
Cholet - Le Pontreau Aerodrome(UAF),Cholet/Le Pontreau,LFOU,CET,31/05/2025
Saumur - Saint-Hilaire - Saint-Florent Aerodrome(UAF),Saumur/Saint-Florent-le-Vieil,LFOD,XSU,31/05/2025
Cherbourg – Maupertus Airport,Cherbourg-Octeville/Maupertus-sur-Mer,LFRC,CER,31/05/2025
Granville - Mont Saint-Michel Aerodrome(UAF),Granville/Mont-Saint-Michel,LFRF,GFR,31/05/2025
Châlons Vatry Airport,Châlons-en-Champagne/Vatry,LFOK,XCR,31/05/2025
Épernay - Plivot Airport,Épernay/Plivot,LFSW,XEP,31/05/2025
Reims - Champagne Aerodrome(BA 112),Reims/Champagne-Ardenne,LFSR,RHE,31/05/2025
Quartier Général d'Aboville(UAF),Chaumont/Semoutiers,LFJA,XCW,31/05/2025
Laval - Entrammes Airport(UAF),Laval/Entrammes,LFOV,LVA,31/05/2025
Nancy-Essey Airport,Nancy/Essey,LFSN,ENC,31/05/2025
Bar-le-Duc - Les Hauts-de-Chée Airport,Bar-le-Duc/Les Hauts-de-Chée,LFEU,XBD,31/05/2025
Verdun-Le-Rozelier Airport,Verdun/Le Rozelier,LFGW,XVN,31/05/2025
Lorient South Brittany Airport,Lorient/ Lann /Bihoué,LFRH,LRT,31/05/2025
Vannes Airport,Vannes/Meucon,LFRV,VNE,31/05/2025
Metz-Frescaty Air Base(BA 128),Metz/Frescaty,LFSF,MZM,31/05/2025
Metz–Nancy–Lorraine Airport,Metz/Nancy,LFJL,ETZ,31/05/2025
Thionville - Yutz Airport,Thionville/Yutz,LFGV,XTH,31/05/2025
Nevers - Fourchambault Airport(WEBUAF),Nevers/Fourchambault,LFQG,NVS,31/05/2025
Cambrai - Épinoy Air Base(BA 103),Cambrai/Épinoy,LFQI,XCB,31/05/2025
Dunkerque – Les Moëres Airport,Dunkirk/Les Moëres,LFAK,XDK,31/05/2025
Lille Airport,Lille/Lesquin,LFQQ,LIL,31/05/2025
Maubeuge Aerodrome(UAF),Maubeuge/Élesmes,LFQJ,XME,31/05/2025
Merville–Calonne Airport,Merville/Calonne-sur-la-Lys,LFQT,HZB,31/05/2025
Valenciennes-Denain Airport,Valenciennes/Denain,LFAV,XVS,31/05/2025
Beauvais–Tillé Airport,Beauvais/Tillé,LFOB,BVA,31/05/2025
Compiègne - Margny Airport,Compiègne/Margny-lès-Compiègne,LFAD,XCP,31/05/2025
Creil Air Base(BA 110),Creil,LFPC,CSF,31/05/2025
Alençon - Valframbert Aerodrome(WEBUAF),Alençon/Valframbert,LFOF,XAN,31/05/2025
Calais–Dunkerque Airport,Calais/Dunkirk,LFAC,CQF,31/05/2025
Le Touquet – Côte d'Opale Airport,Le Touquet,LFAT,LTQ,31/05/2025
Lens - Bénifontaine Airport,Lens/Bénifontaine,LFQL,XLE,31/05/2025
Saint-Omer - Wizernes Airport,Saint-Omer/Wizernes,LFQN,XSG,31/05/2025
Clermont-Ferrand Auvergne Airport,Clermont-Ferrand/Auvergne,LFLC,CFE,31/05/2025
Biarritz Pays Basque Airport,Biarritz,LFBZ,BIQ,31/05/2025
Pau Pyrénées Airport,Pau/Uzein,LFBP,PUF,31/05/2025
Tarbes–Lourdes–Pyrénées Airport,Tarbes/Lourdes,LFBT,LDE,31/05/2025
Mont-Louis - La Quillane Aerodrome,Mont-Louis/La Quillane,LFNQ,QZE,31/05/2025
Perpignan–Rivesaltes Airport,Perpignan/Rivesaltes,LFMP,PGF,31/05/2025
Strasbourg Airport(BA 124),Strasbourg/Entzheim,LFST,SXB,31/05/2025
EuroAirport Basel Mulhouse Freiburg,Mulhouse,LFSB,MLH,31/05/2025
